One Hot Representation,Full Code,Note,Modifier,Hold/Release,Simplified One Hot
210,233744,RBO,,release,24
211,303744,YBO,,release,25
212,16233037,GRYB,,release,26
213,16233044,GRYO,,release,27
214,16233744,GRBO,,release,28
215,16303744,GYBO,,release,29
216,23303744,RYBO,,release,30
217,1623303744,GRYBO,,release,31
218,45,open,regular,,218
219,46,open,force,,218
220,47,open,tap,,218
221,48,open,regular,hold,218
222,49,open,force,hold,218
223,50,open,tap,hold,218
224,51,open,,release,218
